id,purpose_validated,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
236,errand,1202.529999,8,8,25,39,34.955054084481105,380.0203181293084,17299.773746929597,34.955054084481105,0
237,leisure,14936.000000000002,9,13,5,1,47.32301926694343,5446.769303018258,18363.296443952826,47.32301926694343,4
238,leisure,549.803,13,13,15,15,85.1690364325735,386.09347343512945,60784.54786056072,85.1690364325735,5
239,work,9041.087,12,14,16,50,87.04431685756501,695.3745153419666,19391.940899706296,87.04431685756501,4
240,work,8298.728000000001,13,15,31,44,631.4055846565852,631.4055846565852,9642.090590279146,1340.3088469809509,1
241,leisure,3105.0,12,13,18,38,152232.6864856642,152232.6864856642,237630.20006101535,226020.5331682441,0
242,wait,302.230999,7,7,17,7,67.81070854247429,187.23568605772599,268.0230689777885,67.81070854247429,4
243,work,438.36199999999997,11,12,12,15,335.44044938334105,335.44044938334105,38975.410015200425,1065.2266682744903,2
244,leisure,10620.990001,15,18,17,37,52.79312597743348,778.2014652489488,52.79312597743348,366.6935965993418,6
245,home,57119.29300000001,16,8,9,36,168.54674548436418,1282.0197722631474,19497.136810975546,168.54674548436418,5
246,home,34896.738000000005,20,6,30,48,217.73232394452847,1226.756963684666,30194.48705531029,217.73232394452847,3
247,home,61406.68,19,12,27,26,32.560866056240485,4386.599693570848,15669.444977757285,32.560866056240485,1
248,wait,475.088,7,8,20,8,21.40461281394384,21.40461281394384,32.56941890892833,32.56941890892833,0
249,work,532.6040009999999,13,13,15,7,152.83846400781366,152.83846400781366,179.47290807132774,179.47290807132774,2
250,home,11272.463999,16,19,13,32,163.7586744180205,605.3532948045646,75102.39914344813,163.7586744180205,6
251,wait,763.175999,13,13,7,23,237.0228062004244,250.38834715764503,36346.29381324189,237.0228062004244,2
252,leisure,16808.504,17,21,19,20,17.59708956779967,675.6853542522373,15473.46369912771,17.59708956779967,4
253,errand,2367.924,19,20,9,6,53.27551987129848,577.3353164954772,29368.759292460887,53.27551987129848,3
254,errand,46290.81599900001,15,4,24,25,118.38767437219799,188.79361501141082,34839.931739525295,118.38767437219799,5
255,wait,320.0,9,9,22,51,140.16483781800667,173.74663533686157,48897.70123712267,140.16483781800667,4
