id,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
22251,1745.6059989999999,16,17,16,33,310.03222530040824,1023.618851264912,136266.17895984228,310.03222530040824,2
22252,7603.000000000001,16,18,28,21,395.36105436878745,1108.3814496665,2148.3631833896898,395.36105436878745,6
22253,54703.773,19,10,24,47,152.78242521676128,971.462975961654,31458.42043216332,152.78242521676128,4
22254,2488.9339999999997,12,13,5,27,131.42653882245062,414.74872575143957,27459.87323644349,131.42653882245062,2
22255,7610.928000000001,14,16,16,37,101.09864238182985,256.2613425105766,101.09864238182985,101.09864238182985,5
22256,1215.375,13,13,12,41,974107.8106393492,974107.8106393492,1173058.0393597872,1003357.4547343592,3
22257,55449.001,14,5,6,45,70.1446035605653,5774.336839458614,33954.215419704866,70.1446035605653,0
22258,599.3470000000002,18,18,7,10,57.20894606359689,57.20894606359689,85.47697983284152,85.47697983284152,1
22259,1902.0,12,13,27,4,135.20645672882543,937.3596765676489,28398.28745132157,135.20645672882543,5
22260,1060.9669999999999,16,17,13,46,29.907925566871565,29.907925566871565,78.50876318531773,78.50876318531773,0
22261,6498.809001000001,0,1,19,51,6308046.192961306,6308046.192961306,6374052.046327317,6367944.054662103,0
22262,9284.0,6,9,6,27,390.45326812995677,390.45326812995677,48578.87230358413,1848.4251116578405,3
22263,3847.612,18,19,21,12,782.5414957204978,782.5414957204978,31873.066512689136,782.5414957204978,1
22264,6816.0,10,12,22,4,158.7847937539106,219.9606275912721,101847.54832896822,158.7847937539106,0
22265,13886.186000000003,11,15,19,16,188.1499086210648,188.1499086210648,37782.587420332384,236.36072740893783,2
22266,2070.476001,15,15,18,20,97.22696595386574,392.9516540391425,42164.34315381356,97.22696595386574,3
22267,9915.518,17,20,23,47,60.52845843590303,936.0864359147247,36053.37199053247,60.52845843590303,2
22268,4648.556000000001,11,12,9,10,358105.3419460415,411360.73877508147,587712.5876635747,358105.3419460415,3
22269,17213.726000000002,5,10,27,17,109.313345800089,392.22277480783447,109.313345800089,109.313345800089,3
22270,1157.110001,19,19,18,3,36.119884997872205,321.36592612318367,2850.7378145163593,36.119884997872205,2
